"نام کالا",نماد,تالار,"تولید کننده","نوع قرارداد","قیمت پایانی میانگین   موزون","ارزش معامله (هزارریال)","پایین ترین",بالاترین,"قیمت پایه عرضه","حجم عرضه",تقاضا,"حجم قرارداد",واحد,"تاریخ معامله","عرضه کننده",کارگزار,"نوع ارز"
"قیر 6070",TORC-BI6070B-00,"تالار فرآورده های نفتی","پالایش نفت تبریز",نقدی,,0,,,"133,203","2,000",0,0,تن,1401/12/08,"پالایش نفت تبریز","آرمون بورس",ریال
"قیر 85100",TORC-BI85100B-00,"تالار فرآورده های نفتی","پالایش نفت تبریز",نقدی,,0,,,"133,203","2,000",0,0,تن,1401/12/08,"پالایش نفت تبریز","آرمون بورس",ریال
"شمش بلوم (150*150)5SP",AISC-BSG194X-00,"تالار صنعتی","آهن و فولاد ارفع",نقدی,"202,339","1,416,373,000","202,339","202,339","202,339","7,000","7,000","7,000",تن,1401/12/08,"آهن و فولاد ارفع","سی ولکس",ریال
"شمش بلوم (150*150)5SP",AISC-BSG194X-00,"تالار صنعتی","آهن و فولاد ارفع",نقدی,"202,341","1,214,046,000","202,341","202,341","202,341","6,000","6,000","6,000",تن,1401/12/08,"آهن و فولاد ارفع","سی ولکس",ریال
"شمش بلوم (150*150)5SP",AISC-BSG194X-00,"تالار صنعتی","آهن و فولاد ارفع",نقدی,"202,340","1,416,380,000","202,340","202,340","202,340","7,000","7,000","7,000",تن,1401/12/08,"آهن و فولاد ارفع","سی ولکس",ریال
"شمش بلوم (150*150)5SP",CHMI-BSG194X-00,"تالار صنعتی","شرکت معدنی وصنعتی چادرملو",نقدی,"209,402","6,282,060,700","208,910","209,800","208,570","30,000","41,600","30,000",تن,1401/12/08,"معدنی و صنعتی چادر ملو","بانک سپه",ریال
"شمش بلوم (150*150)3SP",PSC-BSG324X-00,"تالار صنعتی","مجتمع صنعتی ذوب آهن پاسارگاد","سلف (مچینگ)","208,317","312,475,500","208,317","208,317","208,317",0,"1,500","1,500",تن,1401/12/08,"مجتمع صنعتی ذوب آهن پاسارگاد",توانا,ریال
"شمش بلوم (150*150)3SP",PSC-BSG324X-00,"تالار صنعتی","مجتمع صنعتی ذوب آهن پاسارگاد",سلف,"208,317","729,109,500","208,317","208,317","208,317","5,000","4,400","3,500",تن,1401/12/08,"مجتمع صنعتی ذوب آهن پاسارگاد",توانا,ریال
"شمش بلوم (150*150)5SP",PSC-BSG194X-00,"تالار صنعتی","مجتمع صنعتی ذوب آهن پاسارگاد",سلف,"208,564","1,042,821,900","208,318","208,817","208,317","5,000","6,800","5,000",تن,1401/12/08,"مجتمع صنعتی ذوب آهن پاسارگاد",توانا,ریال
"کنسانتره سنگ آهن",CHMI-OAIOC-00,"تالار حراج باز","شرکت معدنی وصنعتی چادرملو",نقدی,"31,426","9,427,800,000","31,426","31,426","31,426","300,000","300,000","300,000",تن,1401/12/08,"معدنی و صنعتی چادر ملو","بانک سپه",ریال
"ورق رنگی",MSC-PS10000-00,"تالار صنعتی","فولاد مبارکه اصفهان",سلف,"461,758","3,232,309,400","450,447","466,889","450,447","7,000","7,550","7,000",تن,1401/12/08,"فولاد مبارکه اصفهان","مبین سرمایه",ریال
"ورق گالوانیزه G",MSC-GS00101-00,"تالار صنعتی","فولاد مبارکه اصفهان",سلف,"436,469","2,618,813,250","433,333","439,666","410,573","6,000","7,900","6,000",تن,1401/12/08,"فولاد مبارکه اصفهان","مبین سرمایه",ریال
"تختال C",HSTC-SSG09XROA-00,"تالار حراج باز","فولاد هرمزگان جنوب",سلف,"220,800","3,312,000,000","220,800","220,800","220,800","70,000","15,000","15,000",تن,1401/12/08,"فولاد هرمزگان جنوب","مبین سرمایه",ریال
